id_solicitante,produto_solicitado,dia_vencimento,forma_envio_solicitacao,tipo_endereco,sexo,idade,estado_civil,qtde_dependentes,grau_instrucao,nacionalidade,estado_onde_nasceu,estado_onde_reside,possui_telefone_residencial,codigo_area_telefone_residencial,tipo_residencia,meses_na_residencia,possui_telefone_celular,possui_email,renda_mensal_regular,renda_extra,possui_cartao_visa,possui_cartao_mastercard,possui_cartao_diners,possui_cartao_amex,possui_outros_cartoes,qtde_contas_bancarias,qtde_contas_bancarias_especiais,valor_patrimonio_pessoal,possui_carro,vinculo_formal_com_empresa,estado_onde_trabalha,possui_telefone_trabalho,codigo_area_telefone_trabalho,meses_no_trabalho,profissao,ocupacao,profissao_companheiro,grau_instrucao_companheiro,local_onde_reside,local_onde_trabalha
40022,1,10,internet,1,F,44,1,0,0,1,SP,SP,Y,5,1.0,1.0,N,1,625.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,5.0,,,228.0,228.0
40023,1,10,internet,1,F,55,1,0,0,1,SP,SP,Y,14,1.0,16.0,N,1,600.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,4.0,,,140.0,140.0
40024,2,25,presencial,1,F,38,2,0,0,1,SP,SP,Y,12,1.0,1.0,N,1,1030.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,16.0,5.0,9.0,2.0,172.0,172.0
40025,1,5,presencial,1,F,21,1,0,0,1,PA,AP,Y,123,1.0,10.0,N,0,200.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,5.0,0.0,0.0,689.0,689.0
40026,2,10,internet,1,F,64,2,0,0,1,CE,CE,Y,112,2.0,3.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,630.0,630.0
40027,1,25,internet,1,F,45,2,0,0,1,PE,PE,Y,97,1.0,10.0,N,1,2400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,534.0,534.0
40028,1,10,internet,1,F,42,2,0,0,1,BA,PE,Y,111,,,N,1,1606.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,Y,111,0,,,,,563.0,563.0
40029,1,10,internet,1,M,37,2,1,0,1,PR,SP,Y,5,1.0,10.0,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,865.0,865.0
40030,1,10,presencial,1,F,73,1,1,0,0, ,MA,Y,126,1.0,0.0,N,1,344.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,11.0,0.0,656.0,656.0
40031,1,10,presencial,1,F,27,2,0,0,1,RS,RS,Y,58,1.0,12.0,N,0,394.0,0.0,1,1,0,0,0,1,1,0.0,1,Y,RS,Y,58,0,9.0,2.0,0.0,0.0,960.0,960.0
40032,2,10,presencial,1,M,40,2,0,0,0, ,SP,Y,18,1.0,0.0,N,1,630.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,11.0,5.0,11.0,0.0,139.0,139.0
40033,1,10,internet,1,M,26,2,3,0,1,PA,AP,Y,123,1.0,1.0,N,1,451.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,2.0,,,689.0,689.0
40034,1,20,presencial,1,F,53,4,0,0,1,RJ,RJ,Y,22,1.0,1.0,N,0,359.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,289.0,289.0
40035,1,20,presencial,1,F,55,2,0,0,1,BA,SP,Y,5,1.0,7.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,2.0,4.0,0.0,0.0,129.0,129.0
40036,2,10,presencial,1,F,56,2,0,0,1,SP,SP,Y,12,0.0,0.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,186.0,186.0
40037,1,25,internet,1,F,45,7,1,0,1,SP,SP,Y,5,1.0,12.0,N,1,1200.0,1400.0,1,0,0,0,0,0,0,0.0,0,N, ,Y,5,0,9.0,4.0,,,845.0,845.0
40038,1,25,presencial,1,F,60,2,3,0,0, ,AL,Y,100,1.0,15.0,N,1,700.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,11.0,1.0,11.0,0.0,573.0,573.0
40039,1,10,presencial,1,M,32,2,0,0,1,PR,PR,Y,44,1.0,1.0,N,1,588.0,0.0,0,0,0,0,0,1,1,0.0,0,Y,PR,Y,44,0,9.0,2.0,,,877.0,877.0
40040,1,5,internet,1,F,29,1,0,0,1,GO,GO,N, ,1.0,1.0,N,1,528.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,GO,Y,66,0,9.0,2.0,,,738.0,738.0
40041,1,10,presencial,1,M,45,2,2,0,1,RJ,RJ,Y,22,1.0,16.0,N,0,368.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,RJ,Y,22,0,9.0,2.0,0.0,0.0,280.0,280.0
40042,1,10,internet,1,M,50,2,0,0,1,SP,SP,Y,5,1.0,10.0,N,1,988.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,1.0,,,666.0,666.0
40043,1,5,internet,1,F,40,2,0,0,1,BA,BA,Y,86,1.0,4.0,N,1,389.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,5.0,,,486.0,486.0
40044,1,5,internet,1,F,29,1,0,0,1,RO,RO,Y,77,1.0,5.0,N,1,385.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,,,789.0,789.0
40045,1,10,presencial,1,F,70,4,1,0,0, ,RS,N, ,1.0,0.0,N,1,351.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,11.0,0.0,932.0,932.0
40046,1,10,internet,1,M,32,2,0,0,1,PI,PI,Y,110,1.0,2.0,N,1,700.0,0.0,1,0,0,0,0,0,0,0.0,0,Y,PI,N, ,0,,2.0,,4.0,642.0,642.0
40047,1,5,internet,1,M,66,7,0,0,1,SP,SP,Y,10,1.0,12.0,N,1,381.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,1.0,,,117.0,117.0
40048,1,15,presencial,1,F,44,1,1,0,1,PE,PE,Y,97,1.0,5.0,N,1,414.0,0.0,0,0,0,0,0,1,1,0.0,1,N,PE,Y,97,0,0.0,0.0,0.0,0.0,513.0,513.0
40049,1,5,presencial,1,F,23,1,0,0,1,RJ,RJ,Y,22,1.0,18.0,N,0,894.0,0.0,1,1,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,0.0,0.0,280.0,280.0
40050,1,10,internet,1,F,34,1,0,0,1,MG,RJ,Y,20,1.0,2.0,N,1,1600.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,RJ,Y,20,0,9.0,2.0,,,218.0,218.0
40051,2,10,presencial,1,M,60,2,0,0,1,SP,SP,Y,12,2.0,1.0,N,1,600.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,186.0,186.0
40052,2,20,presencial,1,M,49,2,0,0,1,BA,BA,N, ,1.0,22.0,N,1,1649.0,0.0,1,0,0,0,0,1,1,0.0,0,Y,BA,Y,81,0,10.0,2.0,10.0,4.0,428.0,428.0
40053,1,5,presencial,1,M,23,2,0,0,1,PA,PA,Y,119,1.0,1.0,N,0,1220.0,0.0,0,0,0,0,0,0,0,10000.0,1,Y,PA,Y,119,0,9.0,2.0,0.0,0.0,681.0,681.0
40054,2,10,internet,1,F,54,4,0,0,1,SP,SP,Y,5,1.0,30.0,N,1,381.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,,,824.0,824.0
40055,1,15,presencial,1,M,47,2,6,0,1,SP,SP,Y,5,1.0,17.0,N,0,701.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,2.0,0.0,0.0,858.0,858.0
40056,1,15,internet,1,M,36,1,0,0,1,CE,CE,Y,107,1.0,10.0,N,1,300.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,601.0,601.0
40057,1,25,correio,1,F,33,2,0,0,1,PE,PE,Y,97,1.0,1.0,N,1,300.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,11.0,,556.0,556.0
40058,1,10,presencial,1,F,56,2,0,0,1,PE,PE,Y,97,1.0,,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,507.0,507.0
40059,1,15,internet,1,F,50,2,1,0,1,CE,CE,Y,107,1.0,1.0,N,1,960.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,11.0,4.0,11.0,,618.0,618.0
40060,2,10,internet,1,F,64,4,0,0,1,CE,CE,Y,112,2.0,0.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,629.0,629.0
40061,2,5,internet,1,M,31,2,4,0,1,MG,MG,Y,29,5.0,30.0,N,1,514.0,0.0,0,0,0,0,0,0,0,40000.0,0,Y,MG,Y,29,0,9.0,2.0,9.0,4.0,306.0,306.0
40062,1,10,internet,1,F,18,1,0,0,1,SP,SP,Y,5,1.0,1.0,N,1,394.96,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,Y,5,0,9.0,5.0,,,286.0,286.0
40063,2,15,internet,1,F,35,2,0,0,1,BA,BA,N, ,1.0,20.0,N,1,651.45,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,459.0,459.0
40064,2,15,internet,1,F,48,2,0,0,1,GO,GO,Y,69,1.0,6.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,GO,Y,69,0,9.0,5.0,,,756.0,756.0
40065,1,5,internet,1,F,35,2,2,0,1,PA,PA,Y,117,3.0,8.0,N,1,1487.0,0.0,0,1,0,0,0,0,0,0.0,0,Y,PA,Y,117,0,9.0,,,,671.0,671.0
40066,1,10,internet,1,F,66,2,0,0,1,CE,CE,N, ,1.0,1.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,1.0,11.0,,608.0,608.0
40067,1,15,internet,1,F,56,2,0,0,1,CE,CE,Y,107,1.0,5.0,N,1,381.05,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,608.0,608.0
40068,1,15,internet,1,F,48,4,0,0,1,SP,SP,Y,5,1.0,2.0,N,1,329.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,527.0,527.0
40069,1,15,internet,1,F,36,2,0,0,1,PR,SP,Y,14,,,N,1,1200.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,146.0,146.0
40070,1,10,correio,1,M,48,2,2,0,1,SP,SP,Y,12,1.0,1.0,N,1,320.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,Y,12,0,9.0,2.0,11.0,,171.0,171.0
40071,1,25,presencial,1,M,28,1,0,0,1,MG,SP,Y,14,1.0,0.0,N,1,580.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,144.0,144.0
40072,2,10,internet,1,M,43,2,0,0,1,SP,SP,Y,12,,,N,1,1164.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,2.0,,,172.0,172.0
40073,1,10,presencial,1,F,59,1,0,0,1,CE,CE,Y,107,1.0,14.0,N,0,2400.0,2400.0,1,1,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,4.0,0.0,0.0,616.0,616.0
40074,1,10,presencial,1,M,43,2,1,0,1,RS,RS,Y,61,1.0,15.0,N,0,773.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,RS,Y,61,0,9.0,2.0,0.0,0.0,950.0,950.0
40075,1,10,presencial,1,M,38,2,7,0,0, ,TO,Y,68,2.0,0.0,N,1,700.0,0.0,1,0,0,0,0,1,1,0.0,1,Y,TO,Y,68,0,11.0,2.0,11.0,0.0,778.0,778.0
40076,1,5,presencial,1,F,19,2,1,0,1,MA,PA,Y,120,1.0,10.0,N,0,736.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,0.0,0.0,685.0,685.0
40077,1,15,presencial,1,M,19,1,0,0,1,PA,PA,Y,120,4.0,6.0,N,0,500.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,0.0,0.0,684.0,684.0
40078,2,20,internet,1,M,35,2,0,0,1,GO,GO,N, ,5.0,4.0,N,1,850.0,0.0,1,1,0,0,0,1,1,0.0,0,Y,GO,Y,67,0,9.0,2.0,,,756.0,756.0
40079,1,5,presencial,1,M,43,2,3,0,1,SP,SP,Y,5,1.0,5.0,N,1,4820.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,864.0,864.0
40080,2,10,internet,1,F,35,2,0,0,1,MG,MG,Y,29,1.0,4.0,N,1,350.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,326.0,326.0
40081,1,10,presencial,1,M,69,2,0,0,1,RS,RS,Y,58,1.0,33.0,N,0,653.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,960.0,960.0
40082,1,5,presencial,1,M,41,2,2,0,1,SP,BA,Y,84,2.0,0.0,N,0,500.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,3.0,0.0,0.0,457.0,457.0
40083,1,25,presencial,1,F,42,7,0,0,1,BA,BA,Y,86,0.0,0.0,N,1,3000.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,486.0,486.0
40084,1,15,presencial,1,F,37,1,0,0,1,PE,PE,Y,97,1.0,12.0,N,0,372.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,Y,97,0,9.0,5.0,0.0,0.0,558.0,558.0
40085,1,10,internet,1,M,50,2,0,0,1,SP,SP,Y,15,1.0,15.0,N,1,1000.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,4.0,,,150.0,150.0
40086,1,10,presencial,1,M,74,4,0,0,1,PA,PA,N, ,1.0,34.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,1.0,0.0,0.0,661.0,661.0
40087,1,5,presencial,1,M,58,2,0,0,1,MG,MT,Y,73,1.0,5.0,N,1,780.0,830.0,0,0,0,0,0,0,0,50000.0,0,Y,MT,Y,73,0,6.0,1.0,,,785.0,785.0
40088,1,15,presencial,1,F,77,4,0,0,1,BA,BA,N, ,1.0,17.0,N,1,800.0,350.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,1.0,0.0,0.0,400.0,400.0
40089,1,10,presencial,1,M,76,2,0,0,1,PE,PE,N, ,1.0,20.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,0.0,0.0,533.0,533.0
40090,1,10,internet,1,M,58,4,0,0,1,RJ,RJ,Y,20,1.0,18.0,N,1,1386.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,248.0,248.0
40091,1,10,correio,1,F,40,1,2,0,1,AL,AL,N, ,1.0,1.0,N,1,360.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,AL,N, ,0,11.0,2.0,11.0,,576.0,576.0
40092,1,10,presencial,1,F,52,4,0,0,1,CE,CE,Y,107,1.0,,N,1,1511.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,N, ,0,,1.0,,,608.0,608.0
40093,1,25,presencial,1,M,29,2,0,0,1,ES,MA,Y,125,4.0,25.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,4.0,9.0,4.0,655.0,655.0
40094,2,15,internet,1,M,76,2,0,0,1,CE,CE,N, ,1.0,16.0,N,1,273.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,1.0,,,628.0,628.0
40095,1,10,internet,1,F,35,2,0,0,1,RJ,RJ,N, ,1.0,20.0,N,1,291.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,286.0,286.0
40096,1,15,internet,1,F,50,2,0,0,1,PE,PE,Y,97,,,N,1,400.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,5.0,,,541.0,541.0
40097,1,15,internet,1,F,27,2,0,0,1,BA,BA,Y,85,2.0,1.0,N,1,2005.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,BA,Y,85,0,12.0,2.0,,,449.0,449.0
40098,7,20,internet,1,F,49,2,0,0,1,RJ,RJ,Y,20,1.0,3.0,N,1,1040.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,4.0,,,260.0,260.0
40099,1,25,internet,1,F,40,2,2,0,1,PB,RN,N, ,1.0,5.0,N,1,500.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,2.0,5.0,,,591.0,591.0
40100,1,5,presencial,1,F,66,2,0,0,0, ,RS,Y,54,1.0,0.0,N,1,546.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,11.0,1.0,11.0,0.0,906.0,906.0
40101,2,10,presencial,2,F,27,2,1,0,1,GO,GO,N, ,1.0,1.0,N,0,471.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,GO,N, ,0,9.0,2.0,9.0,4.0,750.0,750.0
40102,1,5,presencial,1,F,29,1,4,0,1,MA,CE,Y,107,1.0,5.0,N,0,350.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,CE,Y,107,0,9.0,2.0,0.0,0.0,618.0,618.0
40103,1,15,presencial,1,M,51,2,0,0,1,SP,SP,Y,15,1.0,1.0,N,0,1350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,1.0,9.0,4.0,157.0,157.0
40104,1,25,presencial,1,F,26,2,1,0,1,GO,GO,Y,69,1.0,5.0,N,0,867.0,0.0,0,0,0,0,0,1,1,0.0,1,Y, ,N, ,0,9.0,2.0,0.0,0.0,759.0,759.0
40105,1,15,internet,1,M,36,2,0,0,1,PI,PI,Y,110,1.0,2.0,N,1,665.21,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,Y,110,0,,2.0,,,642.0,642.0
40106,1,5,internet,1,M,78,7,0,0,1,RS,RS,N, ,5.0,,N,1,525.09,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,,1.0,,,980.0,980.0
40107,1,5,presencial,1,F,76,4,0,0,0, ,BA,Y,81,1.0,0.0,N,1,350.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,10.0,1.0,11.0,0.0,412.0,412.0
40108,1,10,internet,1,F,52,2,0,0,1,MA,MA,Y,125,,,N,1,566.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,11.0,,,,656.0,656.0
40109,7,15,internet,2,M,35,2,3,0,1,SP,SP,Y,5,1.0,10.0,N,1,2500.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,SP,N, ,0,9.0,2.0,,,372.0,372.0
40110,1,5,presencial,1,M,45,1,0,0,1,CE,CE,Y,107,1.0,10.0,N,1,392.0,0.0,0,0,0,0,0,1,1,0.0,0,N, ,N, ,0,,,,,605.0,605.0
40111,1,20,internet,1,F,32,1,1,0,1,MA,PA,Y,117,1.0,12.0,N,1,2200.0,0.0,1,1,0,0,0,0,0,0.0,0,N, ,N, ,0,,,,,666.0,666.0
40112,1,5,internet,1,F,34,2,0,0,1,RJ,RJ,Y,20,1.0,10.0,N,1,2900.0,1500.0,1,1,0,0,0,0,0,0.0,0,Y,RJ,Y,20,0,8.0,3.0,,,249.0,249.0
40113,1,5,presencial,1,M,59,2,0,0,1,PE,PE,N, ,1.0,2.0,N,0,350.0,0.0,0,1,0,0,0,1,1,0.0,1,N, ,N, ,0,9.0,4.0,0.0,0.0,510.0,510.0
40114,1,25,internet,1,F,29,1,0,0,1,SP,MG,Y,29,1.0,12.0,N,1,450.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,4.0,,,308.0,308.0
40115,1,25,presencial,1,M,35,6,2,0,1,PE,PE,Y,97,4.0,9.0,N,1,678.0,0.0,0,0,0,0,0,1,1,0.0,1,Y,PE,N, ,0,9.0,2.0,0.0,0.0,559.0,559.0
40116,1,10,presencial,1,M,22,2,0,0,1,SP,SP,Y,16,1.0,6.0,N,1,382.0,0.0,0,0,0,0,0,1,1,0.0,1,N, ,N, ,0,0.0,0.0,0.0,0.0,167.0,167.0
40117,1,20,internet,1,M,42,2,0,0,1,SP,MT,N, ,1.0,13.0,N,1,1000.0,0.0,0,0,0,0,0,0,0,0.0,0,Y,MT,Y,71,0,9.0,2.0,,,780.0,780.0
40118,1,10,internet,1,F,25,6,0,0,1,BA,BA,Y,81,2.0,1.0,N,1,500.0,0.0,1,1,0,0,0,0,0,0.0,0,Y,BA,Y,81,0,9.0,2.0,,,403.0,403.0
40119,1,5,presencial,1,F,25,1,0,0,1,BA,BA,Y,84,1.0,25.0,N,0,414.0,0.0,0,1,0,0,0,1,1,0.0,1,Y,BA,Y,84,0,9.0,5.0,0.0,0.0,456.0,456.0
40120,1,25,internet,1,F,51,4,0,0,1,CE,CE,Y,107,1.0,15.0,N,1,1000.0,0.0,1,1,0,0,0,0,0,0.0,0,Y, ,N, ,0,2.0,,,,600.0,600.0
40121,1,10,internet,1,F,54,2,0,0,1,CE,CE,N, ,1.0,,N,1,700.0,0.0,0,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,631.0,631.0
40122,1,10,internet,1,F,71,4,0,0,1,MS,MT,N, ,1.0,5.0,N,1,325.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,9.0,1.0,,,782.0,782.0
40123,1,5,internet,1,M,57,1,0,0,1,TO,ES,Y,67,1.0,5.0,N,1,1628.0,0.0,0,0,0,0,0,0,0,0.0,0,Y, ,N, ,0,,,,,748.0,748.0
40124,1,10,internet,1,M,46,2,0,0,1,BA,SP,Y,5,2.0,2.0,N,1,236.0,0.0,1,0,0,0,0,0,0,0.0,0,N, ,N, ,0,9.0,1.0,,,665.0,665.0
